$Flow data for Stillwater; 2017, 
JDAY,Flow
 ,(m3/s)
1,1.18902
2,1.041808
3,1.197513
4,4.27481
5,3.93509
6,2.559224
7,1.797685
8,1.497599
9,1.449472
10,1.27395
11,1.72691
12,3.00086
13,4.47298
14,3.08579
15,2.2648
16,1.842981
17,1.596684
18,1.58536
19,1.540064
20,1.523078
21,1.494768
22,1.709924
23,1.916587
24,2.029827
25,2.060968
26,2.140236
27,2.457308
28,2.530914
29,1.976038
30,1.610839
31,1.364542
32,1.30226
33,1.206006
34,1.095597
35,1.010667
36,0.996512
37,0.982357
38,0.96254
39,1.07578
40,1.225823
41,1.237147
42,1.228654
43,1.146555
44,1.174865
45,1.115414
46,1.061625
47,1.109752
48,1.016329
49,0.999343
50,1.353218
51,1.823164
52,1.656135
53,1.576867
54,2.148729
55,4.27481
56,6.87933
57,7.41722
58,4.78439
59,3.42551
60,2.91593
61,2.627168
62,2.09494
63,1.704262
64,1.483444
65,1.404176
66,1.401345
67,1.469289
68,1.457965
69,1.316415
70,1.163541
71,1.070118
72,1.021991
73,1.024822
74,1.169203
75,1.316415
76,1.21733
77,1.112583
78,1.058794
79,1.070118
80,1.208837
81,1.336232
82,1.172034
83,1.095597
84,1.07578
85,1.123907
86,1.514585
87,2.587534
88,4.84101
89,4.50129
90,3.62368
91,4.2465
92,4.10495
93,4.58622
94,8.09666
95,11.72034
96,9.71033
97,14.74951
98,9.0592
99,5.63369
100,4.2465
101,3.48213
102,2.88762
103,2.564886
104,2.097771
105,1.729741
106,1.520247
107,1.364542
108,1.322077
109,1.055963
110,1.002174
111,1.353218
112,1.879784
113,1.551388
114,1.222992
115,1.070118
116,1.913756
117,2.103433
118,1.58536
119,1.21733
120,1.021991
121,0.920075
122,1.030484
123,1.053132
124,0.846469
125,0.99085
126,2.88762
127,2.593196
128,1.81184
129,1.356049
130,1.092766
131,0.937061
132,0.818159
133,0.76437
134,3.14241
135,3.93509
136,2.97255
137,1.828826
138,1.237147
139,1.098428
140,0.968202
141,0.747384
142,0.693595
143,0.823821
144,0.727567
145,0.665285
146,7.27567
147,7.84187
148,4.02002
149,2.706436
150,2.324251
151,2.227997
152,2.88762
153,2.043982
154,1.520247
155,1.282443
156,1.432486
157,3.1141
158,5.0958
159,3.25565
160,2.34973
161,1.72691
162,1.285274
163,1.002174
164,0.804004
165,0.673778
166,0.586017
167,0.543552
168,1.04747
169,1.002174
170,0.956878
171,1.489106
172,1.242809
173,0.973864
174,0.668116
175,0.59451
176,0.543552
177,0.5662
178,0.520904
179,0.62282
180,0.560538
181,0.495425
182,0.770032
183,0.795511
184,0.665285
185,0.489763
186,0.390678
187,0.336889
188,0.407664
189,0.50958
190,0.673778
191,0.492594
192,0.444467
193,0.418988
194,0.438805
195,0.455791
196,0.526566
197,0.498256
198,0.430312
199,0.325565
200,0.271776
201,0.2284617
202,0.2423336
203,0.2075123
204,0.1687276
205,0.36803
206,0.959709
207,0.668116
208,0.540721
209,0.464284
210,0.36803
211,0.300086
212,0.2513928
213,0.2202518
214,0.2414843
215,0.291593
216,0.2505435
217,0.2808352
218,0.407664
219,0.308579
220,0.2822507
221,0.2457308
222,0.2397857
223,0.2165715
224,0.1967545
225,0.1865629
226,0.1616501
227,0.1455134
228,0.1310753
229,0.124564
230,0.1197513
231,0.1211668
232,0.1140893
233,0.1005005
234,0.0917244
235,0.1024822
236,0.1007836
237,0.0968202
238,0.0894596
239,0.0897427
240,0.0801173
241,0.0753046
242,0.0738891
243,0.0696426
244,0.0648299
245,0.0588848
246,0.1373035
247,0.2083616
248,0.1418331
249,0.1477782
250,1.545726
251,1.531571
252,0.846469
253,0.512411
254,0.362368
255,0.280269
256,0.2026996
257,0.1630656
258,0.223649
259,0.860624
260,0.362368
261,0.2494111
262,0.2077954
263,0.2015672
264,0.2143067
265,0.1789192
266,0.1548557
267,0.1375866
268,0.1194682
269,0.1070118
270,0.1010667
271,0.0951216
272,0.0840807
273,0.0812497
274,0.0829483
275,0.0778525
276,0.0738891
277,0.0702088
278,0.0713412
279,0.0908751
280,0.1038977
281,0.0956878
282,0.1333401
283,0.2465801
284,0.1650473
285,0.1339063
286,0.1027653
287,0.096254
288,0.0951216
289,0.1709924
290,0.1534402
291,0.1078611
292,0.093423
293,0.0871948
294,0.0795511
295,0.0750215
296,0.0730398
297,0.1098428
298,1.225823
299,4.58622
300,5.54876
301,2.431829
302,1.565543
303,20.1001
304,11.26738
305,4.92594
306,3.02917
307,2.239321
308,1.803347
309,1.545726
310,1.469289
311,1.602346
312,1.285274
313,1.109752
314,0.971033
315,0.82099
316,0.837976
317,0.832314
318,0.922906
319,0.908751
320,0.968202
321,1.222992
322,1.115414
323,1.429655
324,1.704262
325,1.398514
326,1.307922
327,1.455134
328,1.265457
329,1.1324
330,1.04747
331,0.959709
332,0.954047
333,0.87761
334,0.818159
335,0.82099
336,0.806835
337,0.787018
338,0.76437
339,0.73606
340,1.483444
341,1.633487
342,1.285274
343,1.152217
344,1.172034
345,1.109752
346,1.098428
347,1.239978
348,1.036146
349,0.874779
350,0.874779
351,0.804004
352,0.770032
353,0.823821
354,0.971033
355,0.880441
356,0.767201
357,0.883272
358,1.58536
359,1.381528
360,1.084273
361,1.050301
362,0.928568
363,0.90592
364,0.888934
365,0.869117
