$Malagasco Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0342573974254397
2,0.0300160053632424
3,0.0345020931213357
4,0.123163500267652
5,0.113375672431812
6,0.0737349696966607
7,0.0517939222979862
8,0.043148007709661
9,0.0417613987662503
10,0.0367043543843997
11,0.0497547914988529
12,0.0864591458832526
13,0.128873066505226
14,0.0889061028422126
15,0.0652521855722661
16,0.0530989660094316
17,0.0460027908284476
18,0.0456765299005863
19,0.044371486189141
20,0.043882094797349
21,0.0430664424776956
22,0.0492654001070609
23,0.0552196620405302
24,0.0584822713191435
25,0.0593794888707622
26,0.0616633153657915
27,0.0707986213459087
28,0.0729193173770074
29,0.0569325319118022
30,0.0464106169882743
31,0.0393144418072903
32,0.037520006704053
33,0.0347467888172317
34,0.0315657447705837
35,0.0291187878116238
36,0.0287109616517971
37,0.0283031354919704
38,0.0277321788682131
39,0.0309947881468264
40,0.035317745440989
41,0.0356440063688504
42,0.0353993106729544
43,0.0330339189459597
44,0.0338495712656131
45,0.0321367013943411
46,0.0305869619869997
47,0.0319735709304104
48,0.0292819182755544
49,0.0287925268837624
50,0.038988180879429
51,0.0525280093856742
52,0.0477156606997196
53,0.0454318342046903
54,0.0619080110616875
55,0.123163500267652
56,0.198203513675758
57,0.213700907749172
58,0.137845242021412
59,0.0986939306780525
60,0.0840121889242926
61,0.0840121889242926
62,0.0756925352638287
63,0.0603582716543462
64,0.0491022696431303
65,0.0427401815498343
66,0.040456355054805
67,0.0403747898228397
68,0.0423323553900076
69,0.0420060944621463
70,0.0379278328638797
71,0.0335233103377517
72,0.0308316576828957
73,0.0294450487394851
74,0.0295266139714504
75,0.0336864408016824
76,0.0379278328638797
77,0.035073049745093
78,0.0320551361623757
79,0.0305053967550344
80,0.0308316576828957
81,0.034828354049197
82,0.038498789487637
83,0.0337680060336477
84,0.0315657447705837
85,0.0309947881468264
86,0.0323813970902371
87,0.043637399101453
88,0.074550622016314
89,0.139476546660719
90,0.129688718824879
91,0.104403496915626
92,0.122347847947999
93,0.118269586349732
94,0.132135675783839
95,0.233276563420851
96,0.337680060336477
97,0.279768745641091
98,0.424954858539383
99,0.261008742289064
100,0.162314811611012
101,0.122347847947999
102,0.100325235317359
103,0.0831965366046393
104,0.0738981001605914
105,0.0604398368863115
106,0.0498363567308183
107,0.0438005295653836
108,0.0393144418072903
109,0.0380909633278104
110,0.0304238315230691
111,0.0288740921157278
112,0.038988180879429
113,0.0541593140249809
114,0.0446977471170023
115,0.0352361802090237
116,0.0308316576828957
117,0.0551380968085649
118,0.0606029673502422
119,0.0456765299005863
120,0.035073049745093
121,0.0294450487394851
122,0.0265087003887331
123,0.0296897444353811
124,0.0303422662911037
125,0.0243880043576345
126,0.0285478311878664
127,0.0831965366046393
128,0.0747137524802447
129,0.0522017484578129
130,0.0390697461113943
131,0.0314841795386184
132,0.0269980917805251
133,0.0235723520379811
134,0.0220226126306398
135,0.0905374074815193
136,0.113375672431812
137,0.0856434935635993
138,0.0526911398496049
139,0.0356440063688504
140,0.0316473100025491
141,0.0278953093321438
142,0.0215332212388478
143,0.0199834818315065
144,0.0237354825019118
145,0.0209622646150905
146,0.0191678295118532
147,0.209622646150905
148,0.225935692543971
149,0.115822629390772
150,0.077976361758858
151,0.0669650554435381
152,0.0641918375567168
153,0.0831965366046393
154,0.0588900974789702
155,0.0438005295653836
156,0.0369490500802957
157,0.0412720073744583
158,0.0897217551618659
159,0.146817417537599
160,0.0938000167601326
161,0.0676991425312261
162,0.0497547914988529
163,0.037030615312261
164,0.0288740921157278
165,0.0231645258781545
166,0.0194125252077492
167,0.0168840030168239
168,0.0156605245373439
169,0.0301791358271731
170,0.0288740921157278
171,0.0275690484042824
172,0.042903312013765
173,0.035807136832781
174,0.0280584397960744
175,0.0192493947438185
176,0.0171286987127199
177,0.0156605245373439
178,0.0163130463930665
179,0.0150080026816212
180,0.0179443510323732
181,0.0161499159291359
182,0.0142739155939332
183,0.0221857430945705
184,0.0229198301822585
185,0.0191678295118532
186,0.0141107851300025
187,0.0112560020112159
188,0.00970626260387459
189,0.0117453934030079
190,0.0146817417537599
191,0.0194125252077492
192,0.0141923503619679
193,0.0128057414185572
194,0.0120716543308692
195,0.0126426109546266
196,0.0131320023464186
197,0.0151711331455519
198,0.0143554808258985
199,0.0123979152587306
200,0.00938000167601326
201,0.00783026226867193
202,0.00658231421960235
203,0.00698198385623248
204,0.00597873150305888
205,0.00486128782513383
206,0.0106034801554932
207,0.0276506136362478
208,0.0192493947438185
209,0.0155789593053785
210,0.0133766980423146
211,0.0106034801554932
212,0.00864591458832526
213,0.00724299259852154
214,0.00634577504690288
215,0.00695751428664288
216,0.00840121889242926
217,0.00721852302893194
218,0.008091271010961
219,0.0117453934030079
220,0.00889061028422126
221,0.00813205362694367
222,0.00707986213459087
223,0.00690857514746368
224,0.00623974024534795
225,0.00566878362159062
226,0.00537514878651542
227,0.0046573747452205
228,0.0041924529230181
229,0.0037764702399949
230,0.00358887020647464
231,0.00345020931213357
232,0.00349099192811624
233,0.00328707884820291
234,0.00289556573476931
235,0.00264271351567678
236,0.00295266139714504
237,0.00290372225796584
238,0.00278953093321438
239,0.00257746133010451
240,0.00258561785330104
241,0.00230829606461891
242,0.00216963517027785
243,0.00212885255429518
244,0.00200650470634718
245,0.00186784381200612
246,0.00169655682487892
247,0.00395591375031863
248,0.00600320107264848
249,0.00408641812146317
250,0.00425770510859036
251,0.0445346166530716
252,0.044126790493245
253,0.0243880043576345
254,0.0147633069857252
255,0.0104403496915626
256,0.00807495796456793
257,0.00584007060871782
258,0.00469815736120316
259,0.00644365332526128
260,0.0247958305174611
261,0.0104403496915626
262,0.00718589693614581
263,0.00598688802625542
264,0.00580744451593169
265,0.00617448805977568
266,0.00515492266020902
267,0.0044616181885037
268,0.00396407027351517
269,0.00344205278893704
270,0.00308316576828957
271,0.00291187878116238
272,0.00274059179403518
273,0.00242248738937038
274,0.00234092215740505
275,0.00238986129658425
276,0.00224304387904665
277,0.00212885255429518
278,0.00202281775274025
279,0.00205544384552638
280,0.00261824394608718
281,0.00299344401312771
282,0.00275690484042824
283,0.00384172242556717
284,0.00710433170418047
285,0.00475525302357889
286,0.00385803547196023
287,0.00296081792034158
288,0.00277321788682131
289,0.00274059179403518
290,0.00492654001070609
291,0.00442083557252103
292,0.00310763533787917
293,0.00269165265485598
294,0.00251220914453225
295,0.00229198301822585
296,0.00216147864708132
297,0.00210438298470558
298,0.00316473100025491
299,0.035317745440989
300,0.132135675783839
301,0.159867854652052
302,0.0700645342582207
303,0.045105573276829
304,0.579113146953862
305,0.324629623222024
306,0.141923503619679
307,0.0872747982029059
308,0.0645180984845781
309,0.0519570527619169
310,0.0445346166530716
311,0.0423323553900076
312,0.0461659212923783
313,0.037030615312261
314,0.0319735709304104
315,0.0279768745641091
316,0.0236539172699465
317,0.0241433086617385
318,0.0239801781978078
319,0.0265902656206984
320,0.0261824394608718
321,0.0278953093321438
322,0.0352361802090237
323,0.0321367013943411
324,0.041190442142493
325,0.0491022696431303
326,0.0402932245908743
327,0.0376831371679837
328,0.041924529230181
329,0.0364596586885037
330,0.0326260927861331
331,0.0301791358271731
332,0.0276506136362478
333,0.0274874831723171
334,0.0252852219092531
335,0.0235723520379811
336,0.0236539172699465
337,0.0232460911101198
338,0.0226751344863625
339,0.0220226126306398
340,0.0212069603109865
341,0.0427401815498343
342,0.0470631388439969
343,0.037030615312261
344,0.0331970494098904
345,0.0337680060336477
346,0.0319735709304104
347,0.0316473100025491
348,0.0357255716008157
349,0.0298528748993118
350,0.0252036566772878
351,0.0252036566772878
352,0.0231645258781545
353,0.0221857430945705
354,0.0237354825019118
355,0.0279768745641091
356,0.0253667871412185
357,0.0221041778626051
358,0.0254483523731838
359,0.0456765299005863
360,0.0398038331990823
361,0.0312394838427224
362,0.0302607010591384
363,0.0267533960846291
364,0.0261008742289064
365,0.0256114828371145
