$Weekly temp data for French, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.390909090909091
5,0.3
11,0
19,1.7
27,2.1
33,0.9
39,0.4
53,1.9
60,7.7
67,2.7
76,1.5
80,2.3
88,3.3
94,4.7
103,11.4
108,16.2
117,13.1
123,13.3
130,11.6
138,23.4
144,16.7
151,14.9
158,16.1
165,27.2
171,24.7
179,20.9
187,24
194,21.3
200,22.6
207,20
214,22.4
222,20.9
228,21.5
235,22.4
243,15.5
251,15.7
257,18.6
263,18.8
270,19.8
277,13.2
285,13.6
291,10.6
300,12
306,10.8
313,5.9
320,4.8
326,5.3
333,4.5
340,6
347,0.8
353,2.1
365,2.1
