$Malagasco inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,378.406363636364,0.48459,0.00981666666666667,0.03524,0.719
10,426,0.50106,0.00996666666666667,0.03056,0.638
18,263.348571428571,0.5157,0.0101,0.0264,0.566
24,141.36,0.521455555555556,0.0104777777777778,0.0237333333333333,0.554
36,155.82,0.532966666666667,0.0112333333333333,0.0184,0.53
45,148.44,0.5416,0.0118,0.0144,0.512
51,143.52,0.508651428571429,0.0113371428571429,0.0132171428571429,0.540971428571429
64,154.14,0.437262857142857,0.0103342857142857,0.0106542857142857,0.603742857142857
78,223.68,0.360382857142857,0.00925428571428571,0.00789428571428571,0.671342857142857
80,234.822857142857,0.3494,0.0091,0.0075,0.681
92,301.68,0.400082352941176,0.0094,0.00679411764705882,0.641470588235294
109,166.2,0.471882352941176,0.009825,0.00579411764705882,0.585470588235294
114,181.566666666667,0.493,0.00995,0.0055,0.569
127,221.52,0.797821739130435,0.0189369565217391,0.0100782608695652,0.480260869565217
137,262.5075,1.0323,0.02585,0.0136,0.412
143,287.1,0.86538,0.0228842857142857,0.0116971428571429,0.501142857142857
158,352.8,0.44808,0.01547,0.00694,0.724
171,468,0.0864199999999999,0.00904428571428571,0.00281714285714286,0.917142857142857
172,458.861538461538,0.0586,0.00855,0.0025,0.932
184,349.2,0.0604461538461538,0.00908076923076923,0.00466923076923077,0.873384615384615
198,243.36,0.0626,0.0097,0.0072,0.805
199,235.8,0.0631238095238095,0.00955952380952381,0.0073047619047619,0.808714285714286
218,465.6,0.0730761904761905,0.00689047619047619,0.0092952380952381,0.879285714285714
219,460.857142857143,0.0736,0.00675,0.0094,0.883
226,427.657142857143,1.0387,0.051,0.0128,0.44
239,366,0.620935714285714,0.0265785714285714,0.0118714285714286,0.835571428571429
240,376.285714285714,0.5888,0.0247,0.0118,0.866
253,510,0.740807142857143,0.0246071428571429,0.00892142857142857,0.812142857142857
267,288.12,0.904507142857143,0.0245071428571429,0.00582142857142857,0.754142857142857
268,285.15,0.9162,0.0245,0.0056,0.75
282,243.57,1.195,0.0222,0.0068,0.42
283,240.6,1.23494285714286,0.02345,0.0072,0.396571428571429
289,245.82,1.4746,0.03095,0.0096,0.256
297,252.78,1.24232571428571,0.0259785714285714,0.00896,0.269942857142857
311,112.44,0.835845714285714,0.0172785714285714,0.00784,0.294342857142857
323,130.8,0.487434285714286,0.00982142857142857,0.00688,0.315257142857143
324,130.521428571429,0.4584,0.0092,0.0068,0.317
337,126.9,0.466617857142857,0.0108946428571429,0.0122785714285714,0.434928571428571
351,167.76,0.475467857142857,0.0127196428571429,0.0181785714285714,0.561928571428571
352,193.08,0.4761,0.01285,0.0186,0.571
365,195.17625,0.339689655172414,0.0114603448275862,0.0342896551724138,0.888827586206897
