$Malden inflow constituents, , , , , , 
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3,TOC
1,209.209090909091,0.148765,0.0055775,0.0025,0.525,4.155
5,208.5,0.154592777777778,0.00538361111111111,0.0025,0.522777777777778,4.25166666666667
11,188.46,0.163334444444444,0.00509277777777778,0.0025,0.519444444444444,4.39666666666667
19,208.98,0.17499,0.004705,0.0025,0.515,4.59
27,200.46,0.160145294117647,0.00516264705882353,0.0025,0.525117647058824,4.24176470588235
33,223.98,0.149011764705882,0.00550588235294118,0.0025,0.532705882352941,3.98058823529412
39,283.68,0.137878235294118,0.00584911764705882,0.0025,0.540294117647059,3.71941176470588
53,225.36,0.1119,0.00665,0.0025,0.558,3.11
60,184.62,0.106175555555556,0.00585407407407407,0.0025,0.573296296296296,2.99851851851852
67,215.28,0.100451111111111,0.00505814814814815,0.0025,0.588592592592593,2.88703703703704
76,233.4,0.0930911111111111,0.00403481481481481,0.0025,0.608259259259259,2.7437037037037
80,231.72,0.08982,0.00358,0.0025,0.617,2.68
88,178.08,0.1157,0.00444285714285714,0.0025,0.532714285714286,3.25142857142857
94,127.8,0.13511,0.00509,0.0025,0.4695,3.68
103,116.4,0.164225,0.00606071428571429,0.0025,0.374678571428571,4.32285714285714
108,223.38,0.1804,0.0066,0.0025,0.322,4.68
117,217.5,0.18868,0.00648,0.0025,0.2974,4.746
123,227.46,0.1942,0.0064,0.0025,0.281,4.79
130,226.32,0.20064,0.00630666666666667,0.0025,0.261866666666667,4.84133333333333
138,213.9,0.208,0.0062,0.0025,0.24,4.9
144,230.1,0.221555555555556,0.00891111111111111,0.0025,0.253333333333333,5.34
151,193.08,0.23737037037037,0.0120740740740741,0.0025,0.268888888888889,5.85333333333333
158,172.68,0.253185185185185,0.015237037037037,0.0025,0.284444444444444,6.36666666666667
165,219.6,0.269,0.0184,0.0025,0.3,6.88
171,216.6,0.24284,0.0166342857142857,0.00373428571428571,0.336,6.23028571428571
179,222.54,0.20796,0.01428,0.00538,0.384,5.364
187,255.06,0.17308,0.0119257142857143,0.00702571428571429,0.432,4.49771428571429
194,235.62,0.14256,0.00986571428571428,0.00846571428571429,0.474,3.73971428571429
200,181.74,0.1164,0.0081,0.0097,0.51,3.09
207,230.58,0.0979,0.0079875,0.009025,0.54575,2.6575
214,259.98,0.0794,0.007875,0.00835,0.5815,2.225
222,249.36,0.0582571428571429,0.00774642857142857,0.00757857142857143,0.622357142857143,1.73071428571429
228,253.56,0.0424,0.00765,0.007,0.653,1.36
235,255.3,0.04216,0.00762,0.00722,0.6348,1.344
243,260.64,0.0418857142857143,0.00758571428571429,0.00747142857142857,0.614,1.32571428571429
251,230.76,0.0416114285714286,0.00755142857142857,0.00772285714285714,0.5932,1.30742857142857
257,259.08,0.0414057142857143,0.00752571428571429,0.00791142857142857,0.5776,1.29371428571429
263,239.1,0.0412,0.0075,0.0081,0.562,1.28
270,262.8,0.03965,0.0068,0.0075,0.564,1.2525
277,256.02,0.0381,0.0061,0.0069,0.566,1.225
285,228.72,0.0363285714285714,0.0053,0.00621428571428571,0.568285714285714,1.19357142857143
291,187.86,0.035,0.0047,0.0057,0.57,1.17
300,171.84,0.0592068965517241,0.00682586206896552,0.00470689655172414,0.539586206896552,1.83724137931034
306,167.64,0.0753448275862069,0.00824310344827586,0.0040448275862069,0.519310344827586,2.28206896551724
313,217.44,0.0941724137931035,0.00989655172413793,0.00327241379310345,0.495655172413793,2.80103448275862
320,226.14,0.113,0.01155,0.0025,0.472,3.32
326,213.9,0.115236363636364,0.0108863636363636,0.00422727272727273,0.483272727272727,3.61636363636364
333,227.76,0.117845454545455,0.0101121212121212,0.00624242424242424,0.496424242424242,3.96212121212121
340,204.42,0.120454545454545,0.00933787878787879,0.00825757575757576,0.509575757575758,4.30787878787879
347,212.76,0.123063636363636,0.00856363636363636,0.0102727272727273,0.522727272727273,4.65363636363636
353,249.3,0.1253,0.0079,0.012,0.534,4.95
365,249.3,0.1253,0.0079,0.012,0.534,4.95
