$Weekly temp data for Stillwater (sb), 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.336363636363636
5,0.1
11,0.3
19,1.2
27,2.3
33,0.6
39,1.1
53,1.6
60,6.2
67,2.4
76,0.9
80,2
88,2.2
94,4.5
103,11.1
108,14.2
117,11.8
123,12.5
130,10.9
138,18.6
144,15.3
151,13.4
158,11.9
165,21.7
171,21.2
179,17.7
187,20.7
194,20.4
200,20.8
207,16.9
214,20.1
222,19.1
228,18.4
235,20.2
243,14.1
251,16.5
257,17.6
263,18.4
270,18.9
277,12.5
285,14.8
291,10.4
300,12.2
306,9.8
313,6.8
320,4.6
326,4.2
333,4
340,4.8
347,0.6
353,1.2
365,1.2
