$Weekly temp data for Malagasco, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,2.81818181818182
10,2.9
18,1.47142857142857
24,0.4
36,0.6
45,3.72
51,5.8
64,3.6
78,0.8
80,1.2
92,3.6
109,5.5
114,8.25
127,15.4
137,15.2125
143,15.1
158,12.8
171,14
172,14.3461538461538
184,18.5
198,19.4333333333333
199,19.5
218,16.9
219,16.9571428571429
226,17.3571428571429
239,18.1
240,17.6857142857143
253,12.3
267,12.1
268,12.38125
282,16.31875
283,16.6
289,13
297,8.2
311,9
323,2.8
324,3.00714285714286
337,5.7
351,2.4
352,0.9
365,2.11875
